File Name,Link,Section Title,Level,Category,Word Count,Image,Score
3.md,http://raw.githubusercontent.com/0xmmo/codemancer/master/README.md,Simple prompting,3,Uncategorized,15,0,-1.85
3.md,http://raw.githubusercontent.com/0xmmo/codemancer/master/README.md,Customizing model and temperature,3,Uncategorized,18,0,-1.82
3.md,http://raw.githubusercontent.com/0xmmo/codemancer/master/README.md,Limitations,2,Uncategorized,79,0,-1.21
3.md,http://raw.githubusercontent.com/0xmmo/codemancer/master/README.md,License,2,license,14,0,2.14
4.md,http://raw.githubusercontent.com/10xJSChad/climenu/master/README.md,climenu,2,Uncategorized,75,0,-1.25
4.md,http://raw.githubusercontent.com/10xJSChad/climenu/master/README.md,Basic example (example.conf):,3,Uncategorized,3,0,-1.97
4.md,http://raw.githubusercontent.com/10xJSChad/climenu/master/README.md,climenu in a file explorer (explorer.sh):,3,Uncategorized,6,0,-1.94
4.md,http://raw.githubusercontent.com/10xJSChad/climenu/master/README.md,Features:,3,Uncategorized,226,0,0.2599999999999998
4.md,http://raw.githubusercontent.com/10xJSChad/climenu/master/README.md,Roadmap:,3,Uncategorized,63,0,-1.37
4.md,http://raw.githubusercontent.com/10xJSChad/climenu/master/README.md,Contribution Guidelines:,3,Uncategorized,129,0,-0.71
6.md,http://raw.githubusercontent.com/1Blademaster/timer-cli/master/README.md,Timer-CLI,1,Uncategorized,12,1,-1.88
6.md,http://raw.githubusercontent.com/1Blademaster/timer-cli/master/README.md,Installation,2,Install,9,0,2.09
6.md,http://raw.githubusercontent.com/1Blademaster/timer-cli/master/README.md,Usage,2,Usage,4,0,2.04
6.md,http://raw.githubusercontent.com/1Blademaster/timer-cli/master/README.md,How to specify a duration,3,Uncategorized,20,0,-1.8
6.md,http://raw.githubusercontent.com/1Blademaster/timer-cli/master/README.md,Duration examples,4,Uncategorized,15,0,-1.85
6.md,http://raw.githubusercontent.com/1Blademaster/timer-cli/master/README.md,Options,3,Configuration,38,0,2.38
6.md,http://raw.githubusercontent.com/1Blademaster/timer-cli/master/README.md,--no-bell,4,Uncategorized,20,0,-1.8
6.md,http://raw.githubusercontent.com/1Blademaster/timer-cli/master/README.md,"-m, --message",4,Uncategorized,29,0,-1.71
6.md,http://raw.githubusercontent.com/1Blademaster/timer-cli/master/README.md,Contributing,2,contributing,75,0,2.75
6.md,http://raw.githubusercontent.com/1Blademaster/timer-cli/master/README.md,License,2,license,12,0,2.12
7.md,http://raw.githubusercontent.com/2KAbhishek/tdo/master/README.md,✨ Features,2,Uncategorized,66,0,-1.3399999999999999
7.md,http://raw.githubusercontent.com/2KAbhishek/tdo/master/README.md,⚡ Setup,2,Uncategorized,2,0,-1.98
7.md,http://raw.githubusercontent.com/2KAbhishek/tdo/master/README.md,📋 Requirements,3,Uncategorized,18,0,-1.82
7.md,http://raw.githubusercontent.com/2KAbhishek/tdo/master/README.md,💻 Installation,3,Uncategorized,5,0,-1.95
7.md,http://raw.githubusercontent.com/2KAbhishek/tdo/master/README.md,📦 Environment Variables,4,Uncategorized,37,0,-1.63
7.md,http://raw.githubusercontent.com/2KAbhishek/tdo/master/README.md,🐚 Manual Installation,4,Uncategorized,78,0,-1.22
7.md,http://raw.githubusercontent.com/2KAbhishek/tdo/master/README.md,💾 Git Integration,4,Uncategorized,56,0,-1.44
7.md,http://raw.githubusercontent.com/2KAbhishek/tdo/master/README.md,🚀 Usage,2,Uncategorized,173,0,-0.27
7.md,http://raw.githubusercontent.com/2KAbhishek/tdo/master/README.md,📁 Dir Structure,3,Uncategorized,129,0,-0.71
7.md,http://raw.githubusercontent.com/2KAbhishek/tdo/master/README.md,⚙️ Configuration,3,Uncategorized,123,0,-0.77
7.md,http://raw.githubusercontent.com/2KAbhishek/tdo/master/README.md,Default Configs,4,Uncategorized,35,0,-1.65
7.md,http://raw.githubusercontent.com/2KAbhishek/tdo/master/README.md,🏗️ What's Next,2,Uncategorized,5,0,-1.95
7.md,http://raw.githubusercontent.com/2KAbhishek/tdo/master/README.md,🧑‍💻 Behind The Code,2,Uncategorized,4,0,-1.96
7.md,http://raw.githubusercontent.com/2KAbhishek/tdo/master/README.md,🌈 Inspiration,3,Uncategorized,42,0,-1.58
7.md,http://raw.githubusercontent.com/2KAbhishek/tdo/master/README.md,🔍 More CLI Tools,3,Uncategorized,32,0,-1.68
7.md,http://raw.githubusercontent.com/2KAbhishek/tdo/master/README.md,🧰 Tooling,3,Uncategorized,51,0,-1.49
